Time,FV
1079,46.9
1080,46.9
1081,46.9
1082,46.9
1083,46.9
1084,46.9
1085,46.9
1086,46.9
1087,46.9
1088,46.9
1089,46.9
1090,46.9
1091,46.9
1092,44.1
1093,44.1
1094,44.1
1095,44.1
1096,44.1
1097,44.1
1098,44.1
1099,44.1
1100,44.1
1101,44.1
1102,44.1
1103,44.1
1104,44.1
1105,44.1
1106,44.1
1107,44.1
1108,44.3
1109,44.3
1110,44.3
1111,44.3
1112,44.3
1113,44.3
1114,44.3
1115,44.3
1116,44.3
1117,44.3
1118,44.3
1119,44.3
1120,44.3
1121,44.3
1122,44.3
1123,44.3
1124,44.3
1125,44.3
1126,44.3
1127,44.3
1128,44.3
1129,44.3
1130,44.3
1131,44.3
1132,44.3
1133,44.3
1134,41.7
1135,41.7
1136,41.7
1137,41.7
1138,41.7
1139,41.7
1140,41.7
1141,41.7
1142,41.7
1143,41.7
1144,41.7
1145,41.7
1146,41.7
1147,41.7
1148,41.7
1149,41.7
1150,41.7
1151,41.7
1152,41.7
1153,41.7
1154,41.7
1155,41.7
1156,41.7
1157,41.7
1158,43.3
1159,43.3
1160,43.3
1161,43.3
1162,43.3
1163,43.3
1164,43.3
1165,43.3
1166,43.3
1167,43.3
1168,43.3
1169,43.3
1170,43.3
1171,43.3
1172,43.3
1173,43.3
1174,43.3
1175,43.3
1176,43.3
1177,43.3
1178,43.3
1179,43.3
1180,43.3
1181,43.3
1182,43.3
1183,43.3
1184,43.3
1185,43.3
1186,43.3
1187,43.3
1188,43.3
1189,43.3
1190,43.3
1191,43.3
1192,43.3
1193,43.3
1194,43.3
1195,43.3
1196,43.3
1197,43.3
1198,43.3
1199,43.3
1200,43.3
1201,39
1202,39
1203,39
1204,39
1205,39
1206,39
1207,39
1208,39
1209,39
1210,39
1211,39
1212,39
1213,39
1214,39
1215,39
1216,39
1217,39
1218,39
1219,39
1220,39
1221,39
1222,39
1223,39
1224,39
1225,39
1226,39
1227,39
1228,39
1229,39
1230,39
1231,39
1232,39
1233,39
1234,39
1235,39
1236,39
1237,39
1238,39
1239,39
1240,39
1241,39
1242,39
1243,39
1244,39
1245,39
1246,39
1247,39
1248,39
1249,39
1250,39
1251,34.9
1252,34.9
1253,34.9
1254,34.9
1255,34.9
1256,34.9
1257,34.9
1258,34.9
1259,34.9
1260,34.9
1261,34.9
1262,34.9
1263,34.9
1264,34.9
1265,34.9
1266,34.9
1267,34.9
1268,34.9
1269,34.9
1270,34.9
1271,34.9
1272,34.9
1273,34.9
1274,34.9
1275,34.9
1276,34.9
1277,36
1278,36
1279,36
1280,36
1281,36
1282,36
1283,36
1284,36
1285,36
1286,36
1287,36
1288,36
1289,36
1290,36
1291,36
1292,36
1293,36
1294,36
1295,36
1296,36
1297,36
1298,36
1299,36
1300,36
1301,36
1302,36
1303,36
1304,36
1305,36
1306,36
1307,36
1308,36
1309,36
1310,36.4
1311,36.4
1312,36.4
1313,36.4
1314,36.4
1315,36.4
1316,36.4
1317,36.4
1318,36.4
1319,36.4
1320,36.4
1321,36.4
1322,36.4
1323,36.4
1324,36.4
1325,36.4
1326,36.4
1327,36.4
1328,36.4
1329,36.4
1330,36.4
1331,36.4
1332,36.4
1333,36.4
1334,36.4
1335,36.4
1336,36.4
1337,36.4
1338,36.4
1339,36.4
1340,36.4
1341,36.4
1342,36.4
1343,36.4
1344,36.4
1345,36.4
1346,36.4
1347,36.4
1348,32.4
1349,32.4
1350,32.4
1351,32.4
1352,32.4
1353,32.4
1354,32.4
1355,32.4
1356,32.4
1357,32.4
1358,32.4
1359,32.4
1360,32.4
1361,32.4
1362,32.4
1363,32.4
1364,32.4
1365,32.4
1366,32.4
1367,32.4
1368,32.4
1369,32.4
1370,32.4
1371,32.4
1372,32.4
1373,32.4
1374,32.4
1375,32.4
1376,32.4
1377,32.4
1378,32.4
1379,32.4
1380,32.4
1381,32.4
1382,32.4
1383,32.4
1384,32.4
1385,32.4
1386,28.7
1387,28.7
1388,28.7
1389,28.7
1390,28.7
1391,28.7
1392,28.7
1393,29.4
1394,29.4
1395,29.4
1396,29.4
1397,29.4
1398,29.4
1399,29.4
1400,29.4
1401,29.4
1402,29.4
1403,29.4
1404,29.4
1405,29.4
1406,29.4
1407,29.4
1408,29.4
1409,29.4
1410,30.6
1411,30.6
1412,30.6
1413,30.6
1414,30.6
1415,30.6
1416,30.6
1417,30.6
1418,30.6
1419,30.6
1420,30.6
1421,30.6
1422,30.6
1423,30.6
1424,30.6
1425,30.6
1426,30.6
1427,30.6
1428,30.6
1429,30.6
1430,30.6
1431,27.3
1432,27.3
1433,27.3
1434,27.3
1435,27.3
1436,27.3
1437,27.3
1438,27.3
1439,27.3
1440,27.3
1441,27.3
1442,27.3
1443,27.3
1444,27.3
1445,27.3
1446,27.3
1447,27.3
1448,27.3
1449,27.3
1450,27.3
1451,27.3
1452,27.3
1453,27.3
1454,27.3
1455,28
1456,28
1457,28
1458,28.6
1459,28.6
1460,28.6
1461,28.6
1462,28.6
1463,28.6
1464,28.6
1465,28.6
1466,28.6
1467,28.6
1468,28.6
1469,28.6
1470,28.6
1471,28.6
1472,28.6
1473,28.6
1474,28.6
1475,28.6
1476,30.2
1477,30.2
1478,30.2
1479,30.2
1480,30.2
1481,30.2
1482,30.2
1483,30.2
1484,30.2
1485,30.2
1486,30.2
1487,30.2
1488,30.2
1489,30.2
1490,30.2
1491,30.2
1492,30.2
1493,30.2
1494,30.2
1495,30.2
1496,30.2
1497,30.2
1498,30.2
1499,30.2
1500,30.2
1501,30.2
1502,30.2
1503,32.6
1504,32.6
1505,32.6
1506,32.6
1507,32.6
1508,32.6
1509,32.6
1510,32.6
1511,32.6
1512,32.6
1513,32.6
1514,32.6
1515,32.6
1516,32.6
1517,32.6
1518,32.6
1519,32.6
1520,32.6
1521,32.6
1522,32.6
1523,32.6
1524,32.6
1525,32.6
1526,32.6
1527,32.6
1528,32.6
1529,32
1530,32
1531,32
1532,32
1533,32
1534,32
1535,32
1536,32
1537,32
1538,32
1539,32
1540,32
1541,32
1542,32
1543,32
1544,31.6
